id,name,cuisine,mealType,quick,involved,comfort_food,notes
69,Leek Brie & Potato Tart,Mediterranean,dinner,yes,,yes,pastry
79,Pesto Salmon Traybake,Mediterranean,dinner,yes,,yes,dump-and-go traybake
29,Mexican Black Bean Bowl,Mexican,dinner,yes,,yes,
30,Kidney Bean Jacket Potato,Mexican,dinner,,,yes,needs oven time but hands-off
31,Cajun Halloumi & Black Bean Burrito Bowl,Mexican,dinner,yes,,yes,
32,Sweet Potato Jackets with Guacamole & Kidney Beans,Mexican,dinner,,yes,yes,oven jacket time
33,Mexican-Style Stuffed Peppers,Mexican,dinner,yes,,,
60,Vegetarian Enchiladas,Mexican,dinner,,yes,yes,assembling + oven bake
71,Grilled Courgette Bean & Cheese Quesadilla,Mexican,dinner,yes,,,
72,Refried Bean Quesadillas,Mexican,dinner,yes,,yes,
73,Veggie Fajita Nachos,Mexican,dinner,yes,,,
74,Mexican Bean Burgers,Mexican,dinner,,yes,,forming patties + assembly
75,Spicy Mexican Potato Wedges,Mexican,dinner,,yes,yes,oven wedges
1,Thai Yellow Curry Bowl,Thai,dinner,yes,,,
2,Yellow Thai Basa Curry,Thai,dinner,yes,,yes,
3,Ginger & Peanut Sweet Potato Curry,Thai,dinner,yes,,yes,
4,Green Thai Sweet Potato Curry,Thai,dinner,yes,,,
5,Super Green Thai Chickpea Curry,Thai,dinner,yes,,,
48,Cheddar & Wholegrain Mustard Gnocchi Bake,Veggie,dinner,,yes,yes,
54,Baked Eggs with Potatoes Mushrooms & Cheese,Veggie,dinner,,yes,yes,oven time
55,Oven-Baked Egg & Chips,Veggie,dinner,,yes,yes,oven time
56,Cheese Cumin & Onion Seed Cornbread Muffins,Veggie,bake,,yes,,
57,Strawberry Almond & Polenta Skillet Cake,Veggie,bake,,yes,,
58,Kanelbullar (Cinnamon Balls),Veggie,bake,,yes,,
59,Dark Chocolate Orange Creams,Veggie,dessert,yes,,,no-cook
61,Spinach Sweet Potato & Feta Sausage Rolls,Veggie,dinner,,yes,yes,pastry
63,Raspberry & Lemon Mess Tart,Veggie,dessert,yes,,yes,pastry
64,Mini Bacon & Egg Pies,Veggie,dinner,yes,,,pastry
70,Three Cheese Caramelised Onion & Potato Pie,Veggie,dinner,,yes,yes,pastry
76,Gluten-free Lemon Drizzle Cake,Veggie,bake,,yes,,
80,White Chocolate Cheesecake,Veggie,dessert,,yes,,
81,Cowboy Breakfast Bowl,Veggie,dinner,yes,,yes,
82,Pumpkin Seed Flapjack,Veggie,bake,,yes,,
